"","gene","Cluster","membership","timepoint","z"
"10243","89796","cluster[genes]~3",0.991935414428325,"d5",1.26890124101159
"10244","89797","cluster[genes]~3",0.973058275570876,"d5",1.2838801553828
"10245","89822","cluster[genes]~3",0.9962473233974,"d5",0.978022462828838
"10246","89846","cluster[genes]~3",0.885072971930588,"d5",0.82902289931455
"10247","8985","cluster[genes]~4",0.724555474603998,"d5",-0.900636875756915
"10248","89857","cluster[genes]~1",0.979566225208654,"d5",1.39497062611571
"10249","8986","cluster[genes]~6",0.999603157618308,"d5",-0.504176946074502
"10250","89866","cluster[genes]~6",0.427496375652791,"d5",0.590728785976996
"10251","8987","cluster[genes]~1",0.668742550612576,"d5",0.64486996525832
"10252","89874","cluster[genes]~3",0.92723161547539,"d5",1.05904469331235
"10253","89876","cluster[genes]~3",0.804719104736821,"d5",1.04075840331296
"10254","89884","cluster[genes]~5",0.774162446885522,"d5",0.174481979584718
"10255","89885","cluster[genes]~5",0.903316040226054,"d5",-0.773790846574353
"10256","8989","cluster[genes]~6",0.662735085501284,"d5",-0.829409007534515
"10257","89932","cluster[genes]~3",0.997862615862423,"d5",1.19565441683094
"10258","89944","cluster[genes]~2",0.722287426823276,"d5",0.120516216309484
"10259","8996","cluster[genes]~1",0.980644508646572,"d5",1.23512018620805
"10260","8997","cluster[genes]~4",0.692053326733785,"d5",-0.881150751498997
"10261","89978","cluster[genes]~3",0.979071667594477,"d5",1.05612540134349
"10262","9001","cluster[genes]~3",0.933783362310434,"d5",1.09784386483128
"10263","90024","cluster[genes]~3",0.662511767965057,"d5",0.646432168809804
"10264","90025","cluster[genes]~1",0.514690607596399,"d5",1.30800220052362
"10265","901","cluster[genes]~1",0.947441709425077,"d5",1.2447866779535
"10266","90102","cluster[genes]~4",0.747182076601372,"d5",-0.928329041714642
"10267","90113","cluster[genes]~2",0.682153818764111,"d5",0.431700293239832
"10268","90134","cluster[genes]~5",0.995341880819232,"d5",-0.705025968259555
"10269","90139","cluster[genes]~2",0.614356040047315,"d5",0.455423337054891
"10270","90141","cluster[genes]~2",0.900023303916335,"d5",-0.327221209229207
"10271","90167","cluster[genes]~4",0.943033100674852,"d5",-0.925058575027787
"10272","90199","cluster[genes]~5",0.730613835522334,"d5",0.00350615219265111
"10273","9021","cluster[genes]~4",0.578697691695627,"d5",-1.32177978327128
"10274","9024","cluster[genes]~3",0.574387303360255,"d5",0.921934937319691
"10275","90249","cluster[genes]~3",0.996256109873273,"d5",1.00407707007054
"10276","9028","cluster[genes]~3",0.988810147595695,"d5",0.92316415404338
"10277","90293","cluster[genes]~3",0.825774525373512,"d5",1.40067567061697
"10278","90321","cluster[genes]~3",0.999873678246983,"d5",1.12466633952782
"10279","90332","cluster[genes]~6",0.999793470506464,"d5",-0.636461305533712
"10280","90338","cluster[genes]~1",0.883064886192332,"d5",1.04620403782206
"10281","90342","cluster[genes]~1",0.586818930351906,"d5",1.37736226821221
"10282","90353","cluster[genes]~4",0.938542419080605,"d5",-0.812936323321846
"10283","90362","cluster[genes]~4",0.992747079468473,"d5",-1.08272230470575
"10284","90390","cluster[genes]~3",0.992607271831301,"d5",0.941082758439306
"10285","90410","cluster[genes]~6",0.934494903299211,"d5",-0.166031665211564
"10286","90423","cluster[genes]~4",0.62059860124128,"d5",-1.08224845674366
"10287","90427","cluster[genes]~5",0.824119259426359,"d5",-0.948693089445654
"10288","9047","cluster[genes]~2",0.73952402146634,"d5",0.584801173824724
"10289","9048","cluster[genes]~1",0.597374392125536,"d5",1.4576243280193
"10290","90485","cluster[genes]~3",0.940651586796215,"d5",0.832334048120504
"10291","90488","cluster[genes]~6",0.995631459358572,"d5",-0.702075179440655
"10292","9049","cluster[genes]~4",0.549313993302261,"d5",-1.28349354197689
"10293","9050","cluster[genes]~6",0.927667583605784,"d5",-0.86447836692361
"10294","9051","cluster[genes]~3",0.999077159738694,"d5",1.19532364708959
"10295","90523","cluster[genes]~4",0.490120498086322,"d5",-0.0362420573566191
"10296","90529","cluster[genes]~3",0.983706500736511,"d5",1.22957295589103
"10297","9053","cluster[genes]~3",0.983224605139663,"d5",0.910681996924113
"10298","90557","cluster[genes]~2",0.409158888040758,"d5",0.605937228199349
"10299","9056","cluster[genes]~2",0.720812355392005,"d5",0.173818398155342
"10300","9057","cluster[genes]~4",0.959519028731233,"d5",-0.864118315815912
"10301","90589","cluster[genes]~5",0.999311560988238,"d5",-0.58182209669892
"10302","90592","cluster[genes]~3",0.989032552439161,"d5",0.963298731428679
"10303","90594","cluster[genes]~6",0.743211394531574,"d5",-0.272489603912285
"10304","9060","cluster[genes]~6",0.999722020892481,"d5",-0.595025734463984
"10305","90627","cluster[genes]~6",0.937803485915754,"d5",-0.86127608361285
"10306","90634","cluster[genes]~5",0.906095122615582,"d5",-0.949497467046127
"10307","9066","cluster[genes]~1",0.564347413794047,"d5",0.535044165280446
"10308","90665","cluster[genes]~3",0.833189994836153,"d5",0.805370724350157
"10309","9068","cluster[genes]~4",0.654455949000814,"d5",-1.46838941886178
"10310","9069","cluster[genes]~6",0.703641165169058,"d5",-1.16873298670688
"10311","90693","cluster[genes]~6",0.974380193392315,"d5",-0.821984214164763
"10312","9071","cluster[genes]~3",0.982882964704209,"d5",0.899579440047531
"10313","9074","cluster[genes]~3",0.96636414176153,"d5",0.896200791412732
"10314","9076","cluster[genes]~5",0.982712573434463,"d5",-0.645641291889043
"10315","9077","cluster[genes]~6",0.350404431121132,"d5",-1.37344209119615
"10316","9079","cluster[genes]~4",0.996520893618344,"d5",-1.05488914857677
"10317","90835","cluster[genes]~6",0.855637228673411,"d5",-0.482868345570292
"10318","90853","cluster[genes]~6",0.994696305499047,"d5",-0.349253678372173
"10319","9087","cluster[genes]~3",0.647807158812468,"d5",0.654949093198033
"10320","90874","cluster[genes]~4",0.560484261814416,"d5",-0.957397011538071
"10321","90952","cluster[genes]~6",0.999692722349309,"d5",-0.527057320013576
"10322","9096","cluster[genes]~6",0.999790595819614,"d5",-0.557322088704716
"10323","9099","cluster[genes]~3",0.95918314033893,"d5",1.30988683019212
"10324","90990","cluster[genes]~3",0.572220156623442,"d5",1.45427718445046
"10325","90993","cluster[genes]~6",0.989999404310316,"d5",-0.47117813425065
"10326","91010","cluster[genes]~6",0.667068931782876,"d5",-0.780716871591718
"10327","91039","cluster[genes]~6",0.987333349519326,"d5",-0.673298610693192
"10328","9104","cluster[genes]~3",0.83727562393693,"d5",0.782290498531865
"10329","91056","cluster[genes]~3",0.995862026155643,"d5",1.2174165780621
"10330","9108","cluster[genes]~3",0.999668133239539,"d5",1.1593798381896
"10331","91107","cluster[genes]~6",0.903377919051655,"d5",0.12207969009351
